55.5555555556,+AC0-40.2,4.486,0,9.3477777778
55.5555555556,101.4,20.979,0,11.191025641
44.4444444444,51.4,23.03,7.6923076923,66.9265882427
33.3333333333,58.5,77.541,0,55.5583838384
33.3333333333,47.8,85.661,7.6923076923,54.8237681159
44.4444444444,57.3,70.248,0,66.8519047619
44.4444444444,42.3,97.191,7.6923076923,61.4457444005
66.6666666667,+AC0-7.8,41.981,0,21.1933333333
66.6666666667,30.3,22.514,0,41.6441025641
66.6666666667,+AC0-16.1,17.367,0,8.1577777778
44.4444444444,181.1,6.263,0,37.0431884058
44.4444444444,43,3.593,0,0
44.4444444444,+AC0-21,2.663,0,0
44.4444444444,75,6.25,7.6923076923,39.5926573427
77.7777777778,29.8,2.395,0,9.081025641
55.5555555556,63.2,17.87,0,11.191025641
44.4444444444,+AC0-130.4,7.584,0,0
44.4444444444,79.3,97.623,0,4.531025641
33.3333333333,0.5,75.013,0,15.9851282051
44.4444444444,+AC0-162.2,9.799,0,13.19
44.4444444444,57.7,63.772,0,39.5352991453
44.4444444444,+AC0-187.4,14.021,0,0
33.3333333333,209.8,12.761,0,0
44.4444444444,+AC0-17.2,2.304,0,0
44.4444444444,37.8,36.929,0,11.191025641
44.4444444444,26.5,4.252,0,9.081025641
44.4444444444,+AC0-86,8.157,0,4.531025641
44.4444444444,+AC0-89,82.463,0,0
44.4444444444,+AC0-193.4,27.353,0,4.541025641
44.4444444444,+AC0-162.8,6.472,0,3.141025641
33.3333333333,0.4,88.544,7.6923076923,29.9957971014
33.3333333333,+AC0-14.7,72.881,0,8.7120512821
33.3333333333,+AC0-112.9,5.229,0,0
33.3333333333,+AC0-225.3,5.78,0,12.5233333333
33.3333333333,+AC0-210.5,27.891,0,4.541025641
55.5555555556,262.7,80.707,0,19.2630769231
44.4444444444,223.5,21.426,0,18.9633333333
55.5555555556,+AC0-203.1,2.413,0,0
66.6666666667,+AC0-177.3,15.531,0,0
44.4444444444,145,71.773,0,40.3232478632
44.4444444444,207.7,32.784,0,36.1685507246
55.5555555556,249.8,27.584,0,34.1
55.5555555556,2.6,35.859,0,0
55.5555555556,+AC0-198.3,16.019,0,42.7933333333
66.6666666667,+AC0-9.6,38.938,0,0
44.4444444444,+AC0-249.5,2.274,0,0
44.4444444444,+AC0-195.2,3.218,0,12.5233333333
44.4444444444,+AC0-110.6,2.971,0,0
33.3333333333,75.1,72.494,0,37.227826087
33.3333333333,+AC0-7.1,89.771,0,37.64
44.4444444444,+AC0-216.6,2.787,0,21.8877777778
44.4444444444,+AC0-19.4,93.175,0,28.231025641
44.4444444444,88.5,72.84,0,30.6952396878
44.4444444444,+AC0-29.4,94.044,0,31.7553846154
33.3333333333,+AC0-240.8,7.994,0,0
33.3333333333,+AC0-154,2.89,0,0
33.3333333333,+AC0-149,2.952,0,0
33.3333333333,+AC0-17,4.586,0,0
55.5555555556,+AC0-137.8,5.431,0,0
55.5555555556,+AC0-200.9,23.984,0,0
44.4444444444,62.9,91.549,0,0
44.4444444444,+AC0-155.8,26.515,0,0
22.2222222222,+AC0-192.6,17.2,0,8.071025641
22.2222222222,+AC0-264.6,2.993,0,0
22.2222222222,+AC0-66.1,65.23,0,0
33.3333333333,+AC0-253.3,12.651,0,0
44.4444444444,+AC0-29.5,86.562,0,27.2022222222
33.3333333333,+AC0-233.6,4.822,0,0
55.5555555556,121.6,56.457,0,7.9241025641
33.3333333333,+AC0-24.4,5.066,0,8.071025641
55.5555555556,+AC0-4.7,4.668,0,0
22.2222222222,+AC0-46.4,10.363,0,18.1443589744
33.3333333333,31.1,3.815,0,0
33.3333333333,+AC0-153.7,8.903,0,9.081025641
33.3333333333,62.1,77.349,0,60.0115151515
33.3333333333,+AC0-205,6.503,0,0
55.5555555556,8.3,18.482,0,14.7030769231
55.5555555556,+AC0-203.1,9.117,0,0
33.3333333333,+AC0-12.3,88.09,0,0
33.3333333333,+AC0-118.7,47.501,0,14.0620512821
33.3333333333,+AC0-195.1,13.057,0,12.5233333333
33.3333333333,+AC0-10.1,96.3,0,0
55.5555555556,+AC0-225.2,60.365,0,0
44.4444444444,+AC0-212.9,70.697,0,13.421025641
44.4444444444,+AC0-23,93.272,0,0
55.5555555556,117.4,87.935,0,3.141025641
55.5555555556,+AC0-57.4,27.077,0,0
55.5555555556,+AC0-181,2.242,0,12.5233333333
