33.3333333333333,131.4,75.617,0,0
33.3333333333333,63.2,48.724,0,24.4433333333333
44.4444444444444,-37.4,43.259,0,3.14102564102564
33.3333333333333,-30.1,92.789,7.69230769230769,49.6833333333333
55.5555555555556,-12.7,51.121,0,51.955652173913
44.4444444444444,131,92.651,0,35.7811111111111
55.5555555555556,-42.7,42.468,0,50.5063768115942
22.2222222222222,6.9,2.579,0,9.08102564102564
22.2222222222222,116.1,76.986,7.69230769230769,94.0146702317291
22.2222222222222,-35.6,3.03,0,13.0576923076923
11.1111111111111,36.5,2.786,0,0
22.2222222222222,-16.7,6.914,0,55.5643083003953
33.3333333333333,63.9,20.707,15.3846153846154,76.8729881229881
55.5555555555556,-48.6,3.508,0,0
44.4444444444444,-30.5,7.968,0,0
55.5555555555556,-38.6,46.646,0,53.8276328502415
44.4444444444444,295.9,92.596,23.0769230769231,77.5232798573975
44.4444444444444,-234.1,5.422,0,14.7030769230769
44.4444444444444,-91.4,3.928,0,8.07102564102564
66.6666666666667,-62.1,33.673,0,2.89307692307692
44.4444444444444,313.4,97.862,46.1538461538462,125.095079365079
44.4444444444444,-49.6,82.987,0,3.14102564102564
55.5555555555556,-37.7,77.59,7.69230769230769,81.2856799882887
44.4444444444444,186.6,87.625,0,50.8674747474747
44.4444444444444,-210.7,7.355,0,3.78205128205128
55.5555555555556,-59.2,4.85,0,3.14102564102564
44.4444444444444,-119.7,7.123,0,0
44.4444444444444,-197.5,3.148,0,22.0210256410256
44.4444444444444,-133.6,3.757,0,0
55.5555555555556,-34.2,9.789,7.69230769230769,22.8366666666667
66.6666666666667,303.5,96.917,0,0
66.6666666666667,-8,6.36,0,10.4264102564103
44.4444444444444,260.9,56.3,7.69230769230769,64.8431913116124
44.4444444444444,-188.8,3.113,0,0
55.5555555555556,-4.3,2.34,0,0
44.4444444444444,72.8,64.235,0,4.42307692307692
33.3333333333333,-152.6,2.329,0,0
33.3333333333333,83.3,91.394,7.69230769230769,36.4221367521368
33.3333333333333,-159.2,7.676,0,9.06102564102564
33.3333333333333,256.5,95.998,0,76.4912077294686
33.3333333333333,-24.9,2.352,0,12.0433333333333
55.5555555555556,-24.3,95.105,0,17.0676923076923
55.5555555555556,21.1,97.383,0,22.0210256410256
33.3333333333333,-31.3,12.179,0,25.7585507246377
33.3333333333333,-201.9,6.606,0,17.9810256410256
33.3333333333333,-87.5,13.739,0,0
33.3333333333333,-66.6,5.465,0,0
44.4444444444444,-246.1,2.949,0,0
55.5555555555556,-61.4,5.002,0,0
55.5555555555556,-61.8,30.631,0,44.5066666666667
33.3333333333333,-53.1,72.583,0,45.9076923076923
33.3333333333333,7.5,61.465,0,8.45102564102564
33.3333333333333,-254.1,5.119,0,12.4166666666667
44.4444444444444,-65.2,12.373,0,0
66.6666666666667,-187.7,5.09,0,3.07102564102564
66.6666666666667,-35.7,69.119,0,0
44.4444444444444,-228.7,2.322,0,3.14102564102564
33.3333333333333,60.8,95.51,0,63.9473258904838
66.6666666666667,16.6,5.693,0,49.5385507246377
66.6666666666667,-136,3.989,0,0
